disease_name,year,week,week_date,male_count,female_count,total_count,sentinel_points,data_type
感染性胃腸炎,2019,17,2019-W17,1378,1196,2574,257,gender
水痘,2019,17,2019-W17,77,45,122,257,gender
手足口病,2019,17,2019-W17,6,8,14,257,gender
突発性発しん,2019,17,2019-W17,97,90,187,257,gender
ヘルパンギーナ,2019,17,2019-W17,2,2,4,257,gender
流行性耳下腺炎,2019,17,2019-W17,10,8,18,257,gender
川崎病,2019,17,2019-W17,1,1,2,257,gender
インフルエンザ,2010,33,2010-W33,3,2,5,284,gender
RSウイルス感染症,2010,33,2010-W33,2,0,2,148,gender
咽頭結膜熱,2010,33,2010-W33,15,15,30,148,gender
Ａ群溶血性レンサ球菌咽頭炎,2010,33,2010-W33,34,26,60,148,gender
感染性胃腸炎,2010,33,2010-W33,180,159,339,148,gender
水痘,2010,33,2010-W33,36,32,68,148,gender
手足口病,2010,33,2010-W33,120,93,213,148,gender
突発性発しん,2010,33,2010-W33,33,50,83,148,gender
ヘルパンギーナ,2010,33,2010-W33,90,95,185,148,gender
流行性耳下腺炎,2010,33,2010-W33,61,45,106,148,gender
川崎病,2010,33,2010-W33,0,0,0,148,gender
インフルエンザ,2012,40,2012-W40,5,6,11,409,gender
RSウイルス感染症,2012,40,2012-W40,297,270,567,259,gender
咽頭結膜熱,2012,40,2012-W40,61,68,129,259,gender
Ａ群溶血性レンサ球菌咽頭炎,2012,40,2012-W40,162,126,288,259,gender
感染性胃腸炎,2012,40,2012-W40,498,449,947,259,gender
水痘,2012,40,2012-W40,53,46,99,259,gender
手足口病,2012,40,2012-W40,81,67,148,259,gender
突発性発しん,2012,40,2012-W40,94,87,181,259,gender
ヘルパンギーナ,2012,40,2012-W40,61,54,115,259,gender
流行性耳下腺炎,2012,40,2012-W40,46,37,83,259,gender
川崎病,2012,40,2012-W40,2,1,3,259,gender
インフルエンザ,2022,15,2022-W15,0,0,0,407,gender
RSウイルス感染症,2022,15,2022-W15,5,7,12,256,gender
咽頭結膜熱,2022,15,2022-W15,6,2,8,256,gender
Ａ群溶血性レンサ球菌咽頭炎,2022,15,2022-W15,14,8,22,256,gender
感染性胃腸炎,2022,15,2022-W15,621,538,1159,256,gender
水痘,2022,15,2022-W15,6,11,17,256,gender
手足口病,2022,15,2022-W15,7,7,14,256,gender
突発性発しん,2022,15,2022-W15,41,55,96,256,gender
ヘルパンギーナ,2022,15,2022-W15,0,0,0,256,gender
流行性耳下腺炎,2022,15,2022-W15,5,1,6,256,gender
川崎病,2022,15,2022-W15,1,0,1,256,gender
インフルエンザ,2001,24,2001-W24,13,7,20,178,gender
RSウイルス感染症,2001,24,2001-W24,0,0,0,142,gender
咽頭結膜熱,2001,24,2001-W24,9,7,16,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2001,24,2001-W24,31,24,55,142,gender
感染性胃腸炎,2001,24,2001-W24,188,160,348,142,gender
水痘,2001,24,2001-W24,72,57,129,142,gender
手足口病,2001,24,2001-W24,43,33,76,142,gender
突発性発しん,2001,24,2001-W24,28,23,51,142,gender
ヘルパンギーナ,2001,24,2001-W24,89,89,178,142,gender
流行性耳下腺炎,2001,24,2001-W24,76,69,145,142,gender
川崎病,2001,24,2001-W24,1,2,3,142,gender
インフルエンザ,2002,6,2002-W06,1135,1084,2219,178,gender
RSウイルス感染症,2002,6,2002-W06,0,0,0,142,gender
咽頭結膜熱,2002,6,2002-W06,4,9,13,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2002,6,2002-W06,74,63,137,142,gender
感染性胃腸炎,2002,6,2002-W06,729,635,1364,142,gender
水痘,2002,6,2002-W06,76,63,139,142,gender
手足口病,2002,6,2002-W06,1,1,2,142,gender
突発性発しん,2002,6,2002-W06,38,22,60,142,gender
ヘルパンギーナ,2002,6,2002-W06,2,2,4,142,gender
流行性耳下腺炎,2002,6,2002-W06,40,33,73,142,gender
川崎病,2002,6,2002-W06,0,1,1,142,gender
インフルエンザ,2021,36,2021-W36,0,0,0,409,gender
RSウイルス感染症,2021,36,2021-W36,103,73,176,258,gender
咽頭結膜熱,2021,36,2021-W36,10,10,20,258,gender
Ａ群溶血性レンサ球菌咽頭炎,2021,36,2021-W36,23,21,44,258,gender
感染性胃腸炎,2021,36,2021-W36,339,259,598,258,gender
水痘,2021,36,2021-W36,7,13,20,258,gender
手足口病,2021,36,2021-W36,8,11,19,258,gender
突発性発しん,2021,36,2021-W36,58,41,99,258,gender
ヘルパンギーナ,2021,36,2021-W36,39,25,64,258,gender
流行性耳下腺炎,2021,36,2021-W36,11,6,17,258,gender
川崎病,2021,36,2021-W36,7,3,10,258,gender
インフルエンザ,2013,10,2013-W10,736,744,1480,417,gender
RSウイルス感染症,2013,10,2013-W10,22,13,35,264,gender
咽頭結膜熱,2013,10,2013-W10,40,35,75,264,gender
Ａ群溶血性レンサ球菌咽頭炎,2013,10,2013-W10,408,314,722,264,gender
感染性胃腸炎,2013,10,2013-W10,1600,1505,3105,264,gender
水痘,2013,10,2013-W10,112,88,200,264,gender
手足口病,2013,10,2013-W10,13,6,19,264,gender
突発性発しん,2013,10,2013-W10,76,82,158,264,gender
ヘルパンギーナ,2013,10,2013-W10,3,2,5,264,gender
流行性耳下腺炎,2013,10,2013-W10,34,34,68,264,gender
川崎病,2013,10,2013-W10,2,2,4,264,gender
インフルエンザ,2024,9,2024-W09,2817,2397,5214,416,gender
新型コロナウイルス感染症（COVID-19）,2024,9,2024-W09,928,1012,1940,416,gender
RSウイルス感染症,2024,9,2024-W09,34,22,56,262,gender
咽頭結膜熱,2024,9,2024-W09,38,48,86,262,gender
Ａ群溶血性レンサ球菌咽頭炎,2024,9,2024-W09,443,398,841,262,gender
感染性胃腸炎,2024,9,2024-W09,752,716,1468,262,gender
水痘,2024,9,2024-W09,33,16,49,262,gender
手足口病,2024,9,2024-W09,3,1,4,262,gender
突発性発しん,2024,9,2024-W09,24,29,53,262,gender
ヘルパンギーナ,2024,9,2024-W09,1,3,4,262,gender
流行性耳下腺炎,2024,9,2024-W09,9,5,14,262,gender
川崎病,2024,9,2024-W09,0,2,2,262,gender
インフルエンザ,2021,5,2021-W05,4,1,5,406,gender
RSウイルス感染症,2021,5,2021-W05,8,3,11,255,gender
咽頭結膜熱,2021,5,2021-W05,20,13,33,255,gender
Ａ群溶血性レンサ球菌咽頭炎,2021,5,2021-W05,57,31,88,255,gender
感染性胃腸炎,2021,5,2021-W05,406,367,773,255,gender
水痘,2021,5,2021-W05,9,6,15,255,gender
手足口病,2021,5,2021-W05,2,2,4,255,gender
突発性発しん,2021,5,2021-W05,46,55,101,255,gender
ヘルパンギーナ,2021,5,2021-W05,1,1,2,255,gender
流行性耳下腺炎,2021,5,2021-W05,4,6,10,255,gender
川崎病,2021,5,2021-W05,1,1,2,255,gender
インフルエンザ,2002,39,2002-W39,0,0,0,178,gender
RSウイルス感染症,2002,39,2002-W39,0,0,0,142,gender
咽頭結膜熱,2002,39,2002-W39,3,6,9,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2002,39,2002-W39,12,17,29,142,gender
感染性胃腸炎,2002,39,2002-W39,166,132,298,142,gender
水痘,2002,39,2002-W39,27,21,48,142,gender
手足口病,2002,39,2002-W39,13,25,38,142,gender
突発性発しん,2002,39,2002-W39,36,38,74,142,gender
ヘルパンギーナ,2002,39,2002-W39,8,8,16,142,gender
流行性耳下腺炎,2002,39,2002-W39,28,22,50,142,gender
川崎病,2002,39,2002-W39,1,0,1,142,gender
インフルエンザ,2023,45,2023-W45,2577,2202,4779,417,gender
新型コロナウイルス感染症（COVID-19）,2023,45,2023-W45,235,266,501,417,gender
RSウイルス感染症,2023,45,2023-W45,4,2,6,262,gender
咽頭結膜熱,2023,45,2023-W45,470,442,912,262,gender
Ａ群溶血性レンサ球菌咽頭炎,2023,45,2023-W45,631,536,1167,262,gender
感染性胃腸炎,2023,45,2023-W45,591,541,1132,262,gender
水痘,2023,45,2023-W45,29,23,52,262,gender
手足口病,2023,45,2023-W45,95,76,171,262,gender
突発性発しん,2023,45,2023-W45,36,37,73,262,gender
ヘルパンギーナ,2023,45,2023-W45,13,14,27,262,gender
流行性耳下腺炎,2023,45,2023-W45,11,7,18,262,gender
川崎病,2023,45,2023-W45,5,2,7,262,gender
インフルエンザ,2009,8,2009-W08,1090,1093,2183,287,gender
RSウイルス感染症,2009,8,2009-W08,5,4,9,148,gender
咽頭結膜熱,2009,8,2009-W08,19,14,33,148,gender
Ａ群溶血性レンサ球菌咽頭炎,2009,8,2009-W08,153,121,274,148,gender
感染性胃腸炎,2009,8,2009-W08,525,515,1040,148,gender
水痘,2009,8,2009-W08,99,84,183,148,gender
手足口病,2009,8,2009-W08,1,5,6,148,gender
突発性発しん,2009,8,2009-W08,42,38,80,148,gender
ヘルパンギーナ,2009,8,2009-W08,2,0,2,148,gender
流行性耳下腺炎,2009,8,2009-W08,38,26,64,148,gender
川崎病,2009,8,2009-W08,1,0,1,148,gender
インフルエンザ,2015,17,2015-W17,274,254,528,416,gender
RSウイルス感染症,2015,17,2015-W17,28,13,41,262,gender
咽頭結膜熱,2015,17,2015-W17,46,54,100,262,gender
Ａ群溶血性レンサ球菌咽頭炎,2015,17,2015-W17,586,447,1033,262,gender
感染性胃腸炎,2015,17,2015-W17,1172,1037,2209,262,gender
水痘,2015,17,2015-W17,82,78,160,262,gender
手足口病,2015,17,2015-W17,41,17,58,262,gender
突発性発しん,2015,17,2015-W17,109,81,190,262,gender
ヘルパンギーナ,2015,17,2015-W17,6,6,12,262,gender
流行性耳下腺炎,2015,17,2015-W17,37,25,62,262,gender
川崎病,2015,17,2015-W17,2,1,3,262,gender
インフルエンザ,2018,47,2018-W47,107,101,208,417,gender
RSウイルス感染症,2018,47,2018-W47,32,34,66,262,gender
咽頭結膜熱,2018,47,2018-W47,60,43,103,262,gender
Ａ群溶血性レンサ球菌咽頭炎,2018,47,2018-W47,424,346,770,262,gender
感染性胃腸炎,2018,47,2018-W47,1080,933,2013,262,gender
水痘,2018,47,2018-W47,57,56,113,262,gender
手足口病,2018,47,2018-W47,169,134,303,262,gender
突発性発しん,2018,47,2018-W47,73,58,131,262,gender
ヘルパンギーナ,2018,47,2018-W47,12,13,25,262,gender
流行性耳下腺炎,2018,47,2018-W47,10,4,14,262,gender
川崎病,2018,47,2018-W47,4,0,4,262,gender
インフルエンザ,2007,23,2007-W23,6,2,8,287,gender
RSウイルス感染症,2007,23,2007-W23,7,5,12,149,gender
咽頭結膜熱,2007,23,2007-W23,81,60,141,149,gender
Ａ群溶血性レンサ球菌咽頭炎,2007,23,2007-W23,210,178,388,149,gender
感染性胃腸炎,2007,23,2007-W23,554,476,1030,149,gender
水痘,2007,23,2007-W23,123,123,246,149,gender
手足口病,2007,23,2007-W23,24,20,44,149,gender
突発性発しん,2007,23,2007-W23,62,64,126,149,gender
ヘルパンギーナ,2007,23,2007-W23,35,32,67,149,gender
流行性耳下腺炎,2007,23,2007-W23,31,26,57,149,gender
川崎病,2007,23,2007-W23,3,1,4,149,gender
インフルエンザ,2005,50,2005-W50,59,63,122,178,gender
RSウイルス感染症,2005,50,2005-W50,60,33,93,142,gender
咽頭結膜熱,2005,50,2005-W50,23,32,55,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2005,50,2005-W50,197,152,349,142,gender
感染性胃腸炎,2005,50,2005-W50,1360,1374,2734,142,gender
水痘,2005,50,2005-W50,132,111,243,142,gender
手足口病,2005,50,2005-W50,4,11,15,142,gender
突発性発しん,2005,50,2005-W50,44,39,83,142,gender
ヘルパンギーナ,2005,50,2005-W50,6,7,13,142,gender
流行性耳下腺炎,2005,50,2005-W50,82,58,140,142,gender
川崎病,2005,50,2005-W50,2,0,2,142,gender
インフルエンザ,2019,29,2019-W29,21,15,36,411,gender
RSウイルス感染症,2019,29,2019-W29,116,93,209,262,gender
咽頭結膜熱,2019,29,2019-W29,64,46,110,262,gender
Ａ群溶血性レンサ球菌咽頭炎,2019,29,2019-W29,262,219,481,262,gender
感染性胃腸炎,2019,29,2019-W29,574,500,1074,262,gender
水痘,2019,29,2019-W29,42,49,91,262,gender
手足口病,2019,29,2019-W29,2159,1823,3982,262,gender
突発性発しん,2019,29,2019-W29,57,42,99,262,gender
ヘルパンギーナ,2019,29,2019-W29,530,495,1025,262,gender
流行性耳下腺炎,2019,29,2019-W29,17,10,27,262,gender
川崎病,2019,29,2019-W29,2,0,2,262,gender
インフルエンザ,2018,2,2018-W02,4761,4695,9456,414,gender
RSウイルス感染症,2018,2,2018-W02,28,23,51,261,gender
咽頭結膜熱,2018,2,2018-W02,33,39,72,261,gender
Ａ群溶血性レンサ球菌咽頭炎,2018,2,2018-W02,268,218,486,261,gender
感染性胃腸炎,2018,2,2018-W02,840,836,1676,261,gender
水痘,2018,2,2018-W02,50,60,110,261,gender
手足口病,2018,2,2018-W02,9,17,26,261,gender
突発性発しん,2018,2,2018-W02,61,60,121,261,gender
ヘルパンギーナ,2018,2,2018-W02,0,3,3,261,gender
流行性耳下腺炎,2018,2,2018-W02,8,10,18,261,gender
川崎病,2018,2,2018-W02,0,2,2,261,gender
インフルエンザ,2020,17,2020-W17,0,2,2,413,gender
RSウイルス感染症,2020,17,2020-W17,0,1,1,260,gender
咽頭結膜熱,2020,17,2020-W17,5,6,11,260,gender
Ａ群溶血性レンサ球菌咽頭炎,2020,17,2020-W17,43,47,90,260,gender
感染性胃腸炎,2020,17,2020-W17,119,123,242,260,gender
水痘,2020,17,2020-W17,8,12,20,260,gender
手足口病,2020,17,2020-W17,5,3,8,260,gender
突発性発しん,2020,17,2020-W17,39,29,68,260,gender
ヘルパンギーナ,2020,17,2020-W17,1,0,1,260,gender
流行性耳下腺炎,2020,17,2020-W17,5,4,9,260,gender
川崎病,2020,17,2020-W17,3,2,5,260,gender
インフルエンザ,2010,42,2010-W42,27,26,53,284,gender
RSウイルス感染症,2010,42,2010-W42,16,11,27,148,gender
咽頭結膜熱,2010,42,2010-W42,22,16,38,148,gender
Ａ群溶血性レンサ球菌咽頭炎,2010,42,2010-W42,89,75,164,148,gender
感染性胃腸炎,2010,42,2010-W42,330,315,645,148,gender
水痘,2010,42,2010-W42,43,44,87,148,gender
手足口病,2010,42,2010-W42,36,28,64,148,gender
突発性発しん,2010,42,2010-W42,55,36,91,148,gender
ヘルパンギーナ,2010,42,2010-W42,11,11,22,148,gender
流行性耳下腺炎,2010,42,2010-W42,32,38,70,148,gender
川崎病,2010,42,2010-W42,1,1,2,148,gender
インフルエンザ,2012,31,2012-W31,2,3,5,413,gender
RSウイルス感染症,2012,31,2012-W31,38,31,69,260,gender
咽頭結膜熱,2012,31,2012-W31,85,67,152,260,gender
Ａ群溶血性レンサ球菌咽頭炎,2012,31,2012-W31,154,133,287,260,gender
感染性胃腸炎,2012,31,2012-W31,536,446,982,260,gender
水痘,2012,31,2012-W31,72,57,129,260,gender
手足口病,2012,31,2012-W31,167,141,308,260,gender
突発性発しん,2012,31,2012-W31,112,85,197,260,gender
ヘルパンギーナ,2012,31,2012-W31,754,658,1412,260,gender
流行性耳下腺炎,2012,31,2012-W31,30,29,59,260,gender
川崎病,2012,31,2012-W31,0,0,0,260,gender
インフルエンザ,2003,18,2003-W18,0,0,0,178,gender
RSウイルス感染症,2003,18,2003-W18,0,0,0,142,gender
咽頭結膜熱,2003,18,2003-W18,9,8,17,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2003,18,2003-W18,43,32,75,142,gender
感染性胃腸炎,2003,18,2003-W18,255,212,467,142,gender
水痘,2003,18,2003-W18,56,61,117,142,gender
手足口病,2003,18,2003-W18,10,7,17,142,gender
突発性発しん,2003,18,2003-W18,34,37,71,142,gender
ヘルパンギーナ,2003,18,2003-W18,4,3,7,142,gender
流行性耳下腺炎,2003,18,2003-W18,12,9,21,142,gender
川崎病,2003,18,2003-W18,0,0,0,142,gender
インフルエンザ,2016,45,2016-W45,203,187,390,414,gender
RSウイルス感染症,2016,45,2016-W45,91,51,142,261,gender
咽頭結膜熱,2016,45,2016-W45,34,27,61,261,gender
Ａ群溶血性レンサ球菌咽頭炎,2016,45,2016-W45,274,232,506,261,gender
感染性胃腸炎,2016,45,2016-W45,1946,1725,3671,261,gender
水痘,2016,45,2016-W45,66,62,128,261,gender
手足口病,2016,45,2016-W45,93,83,176,261,gender
突発性発しん,2016,45,2016-W45,64,52,116,261,gender
ヘルパンギーナ,2016,45,2016-W45,25,19,44,261,gender
流行性耳下腺炎,2016,45,2016-W45,126,110,236,261,gender
川崎病,2016,45,2016-W45,1,2,3,261,gender
インフルエンザ,2014,36,2014-W36,4,2,6,412,gender
RSウイルス感染症,2014,36,2014-W36,67,53,120,260,gender
咽頭結膜熱,2014,36,2014-W36,62,54,116,260,gender
Ａ群溶血性レンサ球菌咽頭炎,2014,36,2014-W36,146,122,268,260,gender
感染性胃腸炎,2014,36,2014-W36,522,438,960,260,gender
水痘,2014,36,2014-W36,37,40,77,260,gender
手足口病,2014,36,2014-W36,143,118,261,260,gender
突発性発しん,2014,36,2014-W36,93,94,187,260,gender
ヘルパンギーナ,2014,36,2014-W36,222,224,446,260,gender
流行性耳下腺炎,2014,36,2014-W36,40,32,72,260,gender
川崎病,2014,36,2014-W36,4,2,6,260,gender
インフルエンザ,2009,21,2009-W21,93,66,159,288,gender
RSウイルス感染症,2009,21,2009-W21,3,2,5,148,gender
咽頭結膜熱,2009,21,2009-W21,25,20,45,148,gender
Ａ群溶血性レンサ球菌咽頭炎,2009,21,2009-W21,159,139,298,148,gender
感染性胃腸炎,2009,21,2009-W21,439,391,830,148,gender
水痘,2009,21,2009-W21,106,86,192,148,gender
手足口病,2009,21,2009-W21,10,12,22,148,gender
突発性発しん,2009,21,2009-W21,54,57,111,148,gender
ヘルパンギーナ,2009,21,2009-W21,4,9,13,148,gender
流行性耳下腺炎,2009,21,2009-W21,75,61,136,148,gender
川崎病,2009,21,2009-W21,0,0,0,148,gender
インフルエンザ,2007,52,2007-W52,1154,1066,2220,288,gender
RSウイルス感染症,2007,52,2007-W52,49,34,83,150,gender
咽頭結膜熱,2007,52,2007-W52,20,19,39,150,gender
Ａ群溶血性レンサ球菌咽頭炎,2007,52,2007-W52,98,93,191,150,gender
感染性胃腸炎,2007,52,2007-W52,1054,997,2051,150,gender
水痘,2007,52,2007-W52,141,130,271,150,gender
手足口病,2007,52,2007-W52,15,11,26,150,gender
突発性発しん,2007,52,2007-W52,34,30,64,150,gender
ヘルパンギーナ,2007,52,2007-W52,2,0,2,150,gender
流行性耳下腺炎,2007,52,2007-W52,17,16,33,150,gender
川崎病,2007,52,2007-W52,1,0,1,150,gender
インフルエンザ,2005,21,2005-W21,11,18,29,178,gender
RSウイルス感染症,2005,21,2005-W21,3,2,5,142,gender
咽頭結膜熱,2005,21,2005-W21,21,23,44,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2005,21,2005-W21,120,98,218,142,gender
感染性胃腸炎,2005,21,2005-W21,462,363,825,142,gender
水痘,2005,21,2005-W21,137,122,259,142,gender
手足口病,2005,21,2005-W21,15,16,31,142,gender
突発性発しん,2005,21,2005-W21,47,50,97,142,gender
ヘルパンギーナ,2005,21,2005-W21,30,38,68,142,gender
流行性耳下腺炎,2005,21,2005-W21,70,64,134,142,gender
川崎病,2005,21,2005-W21,2,0,2,142,gender
インフルエンザ,2017,15,2017-W15,849,867,1716,412,gender
RSウイルス感染症,2017,15,2017-W15,35,27,62,260,gender
咽頭結膜熱,2017,15,2017-W15,30,26,56,260,gender
Ａ群溶血性レンサ球菌咽頭炎,2017,15,2017-W15,300,259,559,260,gender
感染性胃腸炎,2017,15,2017-W15,1106,987,2093,260,gender
水痘,2017,15,2017-W15,51,38,89,260,gender
手足口病,2017,15,2017-W15,12,20,32,260,gender
突発性発しん,2017,15,2017-W15,55,54,109,260,gender
ヘルパンギーナ,2017,15,2017-W15,3,2,5,260,gender
流行性耳下腺炎,2017,15,2017-W15,29,25,54,260,gender
川崎病,2017,15,2017-W15,2,0,2,260,gender
インフルエンザ,2018,36,2018-W36,17,17,34,414,gender
RSウイルス感染症,2018,36,2018-W36,307,237,544,261,gender
咽頭結膜熱,2018,36,2018-W36,38,25,63,261,gender
Ａ群溶血性レンサ球菌咽頭炎,2018,36,2018-W36,232,169,401,261,gender
感染性胃腸炎,2018,36,2018-W36,611,503,1114,261,gender
水痘,2018,36,2018-W36,27,30,57,261,gender
手足口病,2018,36,2018-W36,171,127,298,261,gender
突発性発しん,2018,36,2018-W36,75,70,145,261,gender
ヘルパンギーナ,2018,36,2018-W36,163,148,311,261,gender
流行性耳下腺炎,2018,36,2018-W36,12,16,28,261,gender
川崎病,2018,36,2018-W36,2,3,5,261,gender
インフルエンザ,2021,47,2021-W47,0,0,0,413,gender
RSウイルス感染症,2021,47,2021-W47,3,3,6,261,gender
咽頭結膜熱,2021,47,2021-W47,19,10,29,261,gender
Ａ群溶血性レンサ球菌咽頭炎,2021,47,2021-W47,54,26,80,261,gender
感染性胃腸炎,2021,47,2021-W47,657,619,1276,261,gender
水痘,2021,47,2021-W47,25,7,32,261,gender
手足口病,2021,47,2021-W47,142,107,249,261,gender
突発性発しん,2021,47,2021-W47,52,32,84,261,gender
ヘルパンギーナ,2021,47,2021-W47,66,52,118,261,gender
流行性耳下腺炎,2021,47,2021-W47,3,5,8,261,gender
川崎病,2021,47,2021-W47,2,2,4,261,gender
インフルエンザ,2001,7,2001-W07,246,188,434,178,gender
RSウイルス感染症,2001,7,2001-W07,0,0,0,142,gender
咽頭結膜熱,2001,7,2001-W07,2,4,6,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2001,7,2001-W07,26,21,47,142,gender
感染性胃腸炎,2001,7,2001-W07,580,523,1103,142,gender
水痘,2001,7,2001-W07,76,88,164,142,gender
手足口病,2001,7,2001-W07,6,4,10,142,gender
突発性発しん,2001,7,2001-W07,21,24,45,142,gender
ヘルパンギーナ,2001,7,2001-W07,3,1,4,142,gender
流行性耳下腺炎,2001,7,2001-W07,55,55,110,142,gender
川崎病,2001,7,2001-W07,1,0,1,142,gender
インフルエンザ,2011,12,2011-W12,2059,1978,4037,415,gender
RSウイルス感染症,2011,12,2011-W12,10,6,16,261,gender
咽頭結膜熱,2011,12,2011-W12,36,29,65,261,gender
Ａ群溶血性レンサ球菌咽頭炎,2011,12,2011-W12,249,194,443,261,gender
感染性胃腸炎,2011,12,2011-W12,729,618,1347,261,gender
水痘,2011,12,2011-W12,143,137,280,261,gender
手足口病,2011,12,2011-W12,4,1,5,261,gender
突発性発しん,2011,12,2011-W12,62,43,105,261,gender
ヘルパンギーナ,2011,12,2011-W12,0,2,2,261,gender
流行性耳下腺炎,2011,12,2011-W12,45,38,83,261,gender
川崎病,2011,12,2011-W12,1,1,2,261,gender
インフルエンザ,2002,48,2002-W48,15,9,24,178,gender
RSウイルス感染症,2002,48,2002-W48,0,0,0,142,gender
咽頭結膜熱,2002,48,2002-W48,7,5,12,142,gender
Ａ群溶血性レンサ球菌咽頭炎,2002,48,2002-W48,57,34,91,142,gender
感染性胃腸炎,2002,48,2002-W48,857,818,1675,142,gender
水痘,2002,48,2002-W48,105,92,197,142,gender
